id,kod,nazov_sk,nazov_lat,skupina,skladom_ks,stav_skladom,zaradenie,posledny_pohyb,hb,pc,sz,aq,vs,mo,pccz,szcz,cz1,pl,uk,hu,ch
2054,TR189,Brokesia Brygooi CITES B,Brookesia Brygooi,Terarijné zvieratá Chameleony,0,0,29.05.2019,,0,0,0,1,0,1,0,0,1,1,1,1,1
2053,TR188,Brokesia minima CITES B,Brookesia minima,Terarijné zvieratá Chameleony,0,0,29.05.2019,,0,0,0,1,0,1,0,0,1,1,1,1,1
2939,TR330,Brookesia stumpffi CITES B,Brookesia stumpffi,Terarijné zvieratá Chameleony,0,0,17.02.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
2938,TR329,Brookesia therezieni CITES B,Brookesia therezieni,Terarijné zvieratá Chameleony,0,0,17.02.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
2052,TR187,Brokesia thielova CITES B,Brookesia thieli,Terarijné zvieratá Chameleony,0,0,29.05.2019,,0,0,0,1,0,1,0,0,1,1,1,1,1
1583,TR151,Chameleon parsonov CITES B,Calumma parsonii,Terarijné zvieratá Chameleony,0,0,01.01.2018,,0,0,0,1,0,1,0,0,1,1,1,1,1
3590,TR510,Chameleon jemenský 9-12 cm,Chamaeleo calyptratus L,Terarijné zvieratá Chameleony,2,0,10.06.2025,24.04.2026 o 22:20:34,0,1,0,1,0,1,1,0,1,1,1,1,1
2425,TR254,Chameleon jemenský samica 9-12 cm,Chamaeleo calyptratus L female,Terarijné zvieratá Chameleony,4,0,21.06.2021,24.04.2026 o 22:20:53,0,0,0,1,0,1,0,0,1,1,1,1,1
283,TR37B,Chameleon jemenský samec 9-12 cm,Chamaeleo calyptratus L male,Terarijné zvieratá Chameleony,4,0,02.11.2017,24.04.2026 o 22:21:07,0,0,0,1,0,1,0,0,1,1,1,1,1
3409,TR483,"Chameleon jemenský 6,5-8 cm",Chamaeleo calyptratus M,Terarijné zvieratá Chameleony,194,0,15.08.2024,01.07.2026 o 08:12:11,0,0,1,1,1,1,0,1,1,1,1,1,1
282,TR37A,"Chameleon jemenský samica 6,5-8 cm",Chamaeleo calyptratus M female,Terarijné zvieratá Chameleony,5,0,02.11.2017,08.06.2026 o 14:47:22,0,0,0,1,0,1,0,0,1,1,1,1,1
2424,TR253,"Chameleon jemenský samec 6,5-8 cm",Chamaeleo calyptratus M male,Terarijné zvieratá Chameleony,1,0,21.06.2021,01.07.2026 o 08:15:48,0,0,0,1,0,1,0,0,1,1,1,1,1
280,TR37,Chameleón jemenský,Chamaeleo calyptratus S,Terarijné zvieratá Chameleony,0,0,02.11.2017,21.06.2026 o 14:42:21,0,1,0,1,1,1,1,0,0,1,1,1,1
2055,TR190,Chameleón obyčajný CITES B,Chamaeleo chamaeleon,Terarijné zvieratá Chameleony,0,0,29.05.2019,,0,0,0,1,0,1,0,0,1,1,1,1,1
1584,TR152,Chameleon štíhli CITES B,Chamaeleo gracilis,Terarijné zvieratá Chameleony,0,0,02.01.2018,,0,0,0,1,0,1,0,0,1,1,1,1,1
1586,TR154,Chameleon quadricornis CITES B,Chamaeleo quadricornis,Terarijné zvieratá Chameleony,0,0,02.01.2018,,0,0,0,1,0,1,0,0,1,1,1,1,1
1585,TR153,Chameleon antimena CITES B,Furcifer antimena,Terarijné zvieratá Chameleony,0,0,02.01.2018,,0,0,0,1,0,1,0,0,1,1,1,1,1
1432,TR124,Chameleon kobercový CITES B,Furcifer lateralis,Terarijné zvieratá Chameleony,0,0,06.12.2017,31.10.2024 o 01:47:55,0,0,0,1,0,1,0,0,1,1,1,1,1
2056,TR191,Chameleon obrovský CITES B,Furcifer oustaleti,Terarijné zvieratá Chameleony,0,0,29.05.2019,,0,0,0,1,0,1,0,0,1,1,1,1,1
284,TR38,Chameleon pardalis (samica) CITES B,Furcifer pardalis (female),Terarijné zvieratá Chameleony,2,0,02.11.2017,05.06.2026 o 08:45:00,0,1,0,1,1,1,0,0,1,1,1,1,1
2365,TR235,Chameleon pardalis (samec) CITES B,Furcifer pardalis (male),Terarijné zvieratá Chameleony,0,0,11.02.2021,21.06.2026 o 14:42:33,0,0,0,1,1,1,0,0,1,1,1,1,1
1612,TR165,Chameleon boehmei CITES B,Kinyongia boehmei,Terarijné zvieratá Chameleony,0,0,07.01.2018,18.12.2025 o 16:58:02,0,0,0,1,0,1,0,0,1,1,1,1,1
2338,TR230,Chameleon Eliotov CITES B,Trioceros ellioti,Terarijné zvieratá Chameleony,0,0,23.10.2020,27.12.2024 o 13:29:20,0,0,0,1,0,1,0,0,1,1,1,1,1
1611,TR164,Chameleon prilbový CITES B,Trioceros hoehnellii,Terarijné zvieratá Chameleony,0,0,07.01.2018,18.12.2025 o 16:58:20,0,0,0,1,1,1,0,0,1,1,1,1,1
3401,TR480,Chameleon jacksonii jacksonii CITES B samica,Trioceros jacksonii jacksonii female,Terarijné zvieratá Chameleony,0,0,20.07.2024,27.12.2024 o 11:59:34,0,0,0,1,1,1,0,0,1,1,1,1,1
3402,TR481,Chameleon jacksonii jacksonii CITES B samec,Trioceros jacksonii jacksonii male,Terarijné zvieratá Chameleony,0,0,20.07.2024,27.12.2024 o 12:00:08,0,0,0,1,1,1,0,0,1,1,1,1,1
